高校名	地域	偏差値	試験名称	出願開始	出願締切	試験	合格発表	延納	返還
サレジアン国際学園高等学校		55	学力A	01/06	01/27	02/01	02/05	○	○
開成高等学校	荒川区	78	一般	01/25	01/28	02/10	02/12	○	○
慶應義塾女子高等学校		77	一般	01/25	01/29	02/10	02/12	○	○
慶應義塾女子高等学校		77	帰国生	12/01	01/11	02/10	02/12	○	○
早稲田大学系属早稲田実業学校高等部		76	一般	01/25	01/27	02/10	02/12		
桐朋高等学校	国立市	72	一般	01/25	02/07	02/10	02/11		
広尾学園高等学校	港区	71	一般①	01/25	02/09	02/10	02/10	○	○
中央大学杉並高等学校		70	一般	01/25	02/05	02/10	02/11		
中央大学附属高等学校		70	一般	01/25	02/04	02/10	02/11		
創価高等学校		70	一般	01/25	02/05	02/10	02/11	○	○
錦城高等学校		70	一般①（第1志望）	01/25	02/01	02/10	02/11	○	○
錦城高等学校		70	一般①（特進・進学コース）	01/25	02/01	02/10	02/11	○	○
成蹊高等学校		69	一般	01/25	02/03	02/10	02/11	○	○
日本大学第三高等学校		69	一般 Ａ志願	01/25	02/02	02/10	02/11	○	○
日本大学第三高等学校		69	一般 Ｂ志願・B優遇	01/25	02/02	02/10	02/11	○	○
法政大学高等学校		69	一般	01/25	02/01	02/10	02/11	○	○
法政大学高等学校		69	一般①	01/25	02/08	02/10	02/10	○	○
拓殖大学第一高等学校		68	一般Ⅰ	01/25	02/01	02/10	02/11	○	○
日本大学鶴ヶ丘高等学校		68	一般A	01/25	02/06	02/10	02/11	○	○
明治学院高等学校		68	一般①	01/25	01/31	02/10	02/11	○	○
朋優学院高等学校		68	一般	01/25	01/30	02/10	02/14	○	○
東洋高等学校		67	一般Ａ	01/25	01/29	02/10	02/12	○	○
東洋高等学校		67	一般Ｂ	01/25	01/29	02/10	02/12	○	○
京華高等学校		66	一般（併願優遇）①	01/25	01/30	02/10	02/10	○	○
京華高等学校		66	一般①	01/25	02/07	02/10	02/10	○	○
佼成学園高等学校		66	一般①	01/25	02/09	02/10	02/10	○	○
文化学園大学杉並高等学校		66	一般①	01/25	02/06	02/10	02/11	○	○
桜美林高等学校		66	併願優遇	01/25	02/03	02/10		○	○
白梅学園高等学校		66	一般①	01/31	02/03	02/10	02/11	○	○
駒込高等学校		66	併願優遇①	01/25	02/03	02/10	02/10	○	○
駒込高等学校		66	一般①	01/25	02/03	02/10	02/10	○	○
十文字高等学校		65	一般①	01/25	02/08	02/10	02/11	○	○
明法高等学校		65	一般①	01/25	02/07	02/10	02/10	○	○
淑徳巣鴨高等学校		65	一般 Ⅰ期	01/25	02/04	02/10	02/12	○	○
安田学園高等学校		64	併願優遇	01/25	01/28	02/10	02/10	○	○
日本大学櫻丘高等学校		64	一般A	01/25	02/07	02/10	02/11	○	○
聖徳学園高等学校		64	一般	01/25	02/03	02/10	02/11	○	○
足立学園高等学校		64	一般①	01/25	01/31	02/10	02/11	○	○
順天高等学校		64	一般	01/25	02/05	02/10	02/12	○	○
東京成徳大学高等学校		63	一般①	01/25	01/27	02/10	02/10	○	○
東京電機大学高等学校		63	一般	01/25	02/08	02/10	02/11	○	○
芝浦工業大学附属高等学校		63	一般	01/25	02/05	02/10	02/10		
豊島学院高等学校		63	2月併願優遇	01/25	02/04	02/10	02/11	○	○
豊島学院高等学校		63	一般	01/25	02/04	02/10	02/11	○	○
八王子実践高等学校		62	一般A	01/25	02/03	02/10	02/12	○	○
実践学園高等学校		62	一般	01/25	02/03	02/10	02/12	○	○
専修大学附属高等学校		62	一般（第1志望優遇）	01/25	02/05	02/10	02/12	○	○
専修大学附属高等学校		62	一般（併願優遇）	01/25	02/05	02/10	02/12	○	○
専修大学附属高等学校		62	一般（オープン）	01/25	02/05	02/10	02/12	○	○
日本大学第一高等学校		62	一般	01/25	02/08	02/10	02/10	○	○
日本大学豊山女子高等学校		62	一般（第1志望優遇）	01/25	02/08	02/10	02/10	○	○
日本大学豊山女子高等学校		62	一般（併願優遇・一般）	01/25	02/08	02/10	02/10	○	○
明星高等学校		62	一般① Ａ志望	01/25	02/08	02/10	02/11	○	○
明星高等学校		62	一般① Ｂ志望	01/25	02/08	02/10	02/11	○	○
明星高等学校		62	一般① Ｃ志望	01/25	02/05	02/10	02/11	○	○
目黒日本大学高等学校		62	一般	01/25	02/04	02/10	02/11	○	○
芝国際高等学校		62	一般	01/25	02/05	02/10	02/11	○	○
駒澤大学高等学校		62	一般	01/25	02/05	02/10	02/11	○	○
駒澤大学高等学校		62	併願優遇（全都道府県）	01/25	02/05	02/10	02/11	○	○
品川翔英高等学校		61	一般	01/25	02/03	02/10	02/12	○	○
大東文化大学第一高等学校		61	一般 第１志望	01/25	02/04	02/10	02/11	○	○
大東文化大学第一高等学校		61	一般 併願	01/25	02/04	02/10	02/11	○	○
富士見丘高等学校		61	一般	01/25	02/07	02/10	02/10	○	○
工学院大学附属高等学校		61	一般①	01/25	02/06	02/10	02/10	○	○
昭和第一学園高等学校		61	一般①	01/25	01/28	02/10	02/13	○	○
杉並学院高等学校		61	一般	01/25	01/29	02/10	02/12	○	○
東京家政大学附属女子高等学校		61	一般（単願優遇）	01/25	02/08	02/10	02/10	○	○
東京家政大学附属女子高等学校		61	一般（併願優遇・一般①）	01/25	02/08	02/10	02/10	○	○
武蔵野大学高等学校		61	併願優遇	01/25	01/27	02/10	02/11	○	○
武蔵野大学高等学校		61	一般	01/25	02/06	02/10	02/11	○	○
武蔵野大学高等学校		61	併願優遇	01/25	01/26	02/10	02/12	○	○
武蔵野大学高等学校		61	一般	01/25	02/04	02/10	02/12	○	○
郁文館高等学校		61	一般（併願優遇）	01/25	02/05	02/10	02/11	○	○
郁文館高等学校		61	一般（一般）	01/25	02/05	02/10	02/12	○	○
京華女子高等学校		60	一般①	01/25	02/07	02/10	02/10	○	○
佼成学園女子高等学校		60	一般①	01/25	02/07	02/10	02/10	○	○
保善高等学校		60	一般A	01/25	02/06	02/10	02/11	○	○
明星学園高等学校		60	一般① 国公立併願優遇	01/25	02/05	02/10	02/11	○	○
明星学園高等学校		60	一般①	01/25	02/05	02/10	02/11	○	○
東亜学園高等学校		60	一般	01/25	02/01	02/10	02/11	○	○
東京純心女子高等学校		60	一般・併願優遇Ⅰ	01/25	02/05	02/10	02/11	○	○
東京純心女子高等学校		60	一般	01/25	02/03	02/10	02/10	○	○
目白研心高等学校		60	一般①	01/25	02/03	02/10	02/10	○	○
八雲学園高等学校		59	一般①	01/25	02/06	02/10	02/10	○	○
多摩大学目黒高等学校		59	一般	01/25	02/06	02/10	02/12	○	○
大成高等学校		59	一般①	01/25	02/04	02/10	02/12	○	○
大森学園高等学校		59	一般①	01/25	02/05	02/10	02/11	○	○
文京学院大学女子高等学校		59	一般①	01/25	02/09	02/10	02/11	○	○
文京学院大学女子高等学校		59	一般①	01/25	02/08	02/10	02/10	○	○
文教大学付属高等学校		59	一般①	01/25	02/10	02/10	02/10	○	○
